■バージョンアップで増えた地の文一覧
　※ 黒丸の付いている口上は操作キャラでないときに表示される口上
　   地の文はMESSAGE_OTHER.ERBにまとめて記述
　　 口上テンプレも別途用意

・別人改造版0.17
　コマンド
　　Ｖ挿入防御				MESSAGE_BATTLE_CHARA_ANTI_V
　　・洗脳/悪堕ちキャラが操作キャラに振り解かれてしまった		MESSAGE_OTHER_BATTLE_CHARA_HURIHODOKU_SUCCESS
　　・洗脳/悪堕ちキャラが操作キャラの振り解くを防いだ			MESSAGE_OTHER_BATTLE_CHARA_HURIHODOKU_FALSE
　　・洗脳/悪堕ちキャラが操作キャラの暴れるを見た			MESSAGE_OTHER_BATTLE_CHARA_ABARERU
　　・洗脳/悪堕ちキャラが操作キャラの耐えるを見た			MESSAGE_OTHER_BATTLE_CHARA_TAERU
　　・洗脳/悪堕ちキャラが操作キャラのなすがままを見た			MESSAGE_OTHER_BATTLE_CHARA_NASUGAMAMA
　　・洗脳/悪堕ちキャラが操作キャラの受け入れるを見た			MESSAGE_OTHER_BATTLE_CHARA_UKEIRERU
　　・洗脳/悪堕ちキャラが操作キャラの奉仕するをみた			MESSAGE_OTHER_BATTLE_CHARA_HOUSI
　　・洗脳/悪堕ちキャラが攻撃を開始した					MESSAGE_OTHER_BATTLE_TENTACLE_ATTACK
　　・洗脳/悪堕ちキャラが攻撃がクリティカルヒットさせた			MESSAGE_OTHER_BATTLE_TENTACLE_ATTACK_CRITICAL_HIT
　　・洗脳/悪堕ちキャラが攻撃が通常ヒットさせた				MESSAGE_OTHER_BATTLE_TENTACLE_ATTACK_HIT
　　・洗脳/悪堕ちキャラが攻撃を回避された				MESSAGE_OTHER_BATTLE_TENTACLE_ATTACK_FALSE
　　・洗脳/悪堕ちキャラが絡みつく開始した				MESSAGE_OTHER_BATTLE_TENTACLE_KARAMITUKU
　　・洗脳/悪堕ちキャラが絡みつくを成功させた				MESSAGE_OTHER_BATTLE_TENTACLE_KARAMITUKU_SUCCESS
　　・洗脳/悪堕ちキャラが絡みつくを回避された				MESSAGE_OTHER_BATTLE_TENTACLE_KARAMITUKU_FALSE
　　・洗脳/悪堕ちキャラが体液を吐くを開始した				MESSAGE_OTHER_BATTLE_TENTACLE_TAIEKI
　　・洗脳/悪堕ちキャラが体液を吐くをヒットさせた			MESSAGE_OTHER_BATTLE_TENTACLE_TAIEKI_HIT
　　・洗脳/悪堕ちキャラが体液を吐くを回避された				MESSAGE_OTHER_BATTLE_TENTACLE_TAIEKI_FALSE
　　・洗脳/悪堕ちキャラが距離をとった					MESSAGE_OTHER_BATTLE_TENTACLE_TAKEAWAY
　　・洗脳/悪堕ちキャラが押し倒すを開始した				MESSAGE_OTHER_BATTLE_TENTACLE_OSHITAOSU
　　・洗脳/悪堕ちキャラが押し倒すを成功させた				MESSAGE_OTHER_BATTLE_TENTACLE_OSHITAOSU_SUCCESS
　　・洗脳/悪堕ちキャラが押し倒すを回避された				MESSAGE_OTHER_BATTLE_TENTACLE_OSHITAOSU_FALSE
　　・洗脳/悪堕ちキャラが操作キャラのアウターが破れ始めたのを見た	MESSAGE_OTHER_BATTLE_CLOTH_OUTERDAMAGE
　　・洗脳/悪堕ちキャラが操作キャラのアウターが破れたのを見た		MESSAGE_OTHER_BATTLE_CLOTH_OUTERBREAK
　　・洗脳/悪堕ちキャラが操作キャラのインナーが破れ始めたのを見た	MESSAGE_OTHER_BATTLE_CLOTH_INNERDAMAGE
　　・洗脳/悪堕ちキャラが操作キャラのインナーが破れたのを見た		MESSAGE_OTHER_BATTLE_CLOTH_INNERBREAK
　　・洗脳/悪堕ちキャラが操作キャラに敗北した				MESSAGE_OTHER_BATTLE_END_WIN_ENEMY
　　・洗脳/悪堕ちキャラが操作キャラに勝利した				MESSAGE_OTHER_BATTLE_END_LOSS
　　・洗脳/悪堕ちキャラが操作キャラと引き分けた				MESSAGE_OTHER_BATTLE_END_TIMEUP
　　・洗脳/悪堕ちキャラが操作キャラの「触手の虜で体が竦む」を見た	MESSAGE_OTHER_BATTLE_DISACTION_TORIKO
　　・洗脳/悪堕ちキャラが操作キャラの「快楽で体が竦む」を見た		MESSAGE_OTHER_BATTLE_DISACTION_KAIRAKU
　　・洗脳/悪堕ちキャラが操作キャラの「苦痛で体が竦む」を見た		MESSAGE_OTHER_BATTLE_DISACTION_KUTUU
　　・洗脳/悪堕ちキャラが操作キャラの「屈辱で体が竦む」を見た		MESSAGE_OTHER_BATTLE_DISACTION_KUTUZYOKU
　　・洗脳/悪堕ちキャラが操作キャラの「恐怖で体が竦む」を見た		MESSAGE_OTHER_BATTLE_DISACTION_KYOUHU
　　・洗脳/悪堕ちキャラが操作キャラの「恥辱で体が竦む」を見た		MESSAGE_OTHER_BATTLE_DISACTION_TIZYOKU

    ↓の_SEX_COM系は先に洗脳/悪堕ちキャラ側が先に表示されます
    ・洗脳/悪堕ちキャラが操作キャラにC攻め弱をした			MESSAGE_OTHER_SEX_COM0
    ・洗脳/悪堕ちキャラが操作キャラにC攻め強をした			MESSAGE_OTHER_SEX_COM1
    ・洗脳/悪堕ちキャラが操作キャラにV攻め弱をした			MESSAGE_OTHER_SEX_COM2
    ・洗脳/悪堕ちキャラが操作キャラにV攻め強をした			MESSAGE_OTHER_SEX_COM3
    ・洗脳/悪堕ちキャラが操作キャラにA攻め弱をした			MESSAGE_OTHER_SEX_COM4
    ・洗脳/悪堕ちキャラが操作キャラにA攻め強をした			MESSAGE_OTHER_SEX_COM5
    ・洗脳/悪堕ちキャラが操作キャラにB攻め弱をした			MESSAGE_OTHER_SEX_COM6
    ・洗脳/悪堕ちキャラが操作キャラにB攻め強をした			MESSAGE_OTHER_SEX_COM7
    ・洗脳/悪堕ちキャラが操作キャラにスパンキングをした			MESSAGE_OTHER_SEX_COM8
    ・洗脳/悪堕ちキャラが操作キャラに針をした				MESSAGE_OTHER_SEX_COM9
    ・洗脳/悪堕ちキャラが操作キャラに手淫をさせた			MESSAGE_OTHER_SEX_COM10
    ・洗脳/悪堕ちキャラが操作キャラにフェラをさせた			MESSAGE_OTHER_SEX_COM11
    ・洗脳/悪堕ちキャラが操作キャラにC攻めSPをした			MESSAGE_OTHER_SEX_SPCOM0
    ・洗脳/悪堕ちキャラが操作キャラにV攻めSPをした			MESSAGE_OTHER_SEX_SPCOM1
    ・洗脳/悪堕ちキャラが操作キャラにA攻めSPをした			MESSAGE_OTHER_SEX_SPCOM2
    ・洗脳/悪堕ちキャラが操作キャラにB攻めSPをした			MESSAGE_OTHER_SEX_SPCOM3
    ・洗脳/悪堕ちキャラが操作キャラに電流をした				MESSAGE_OTHER_SEX_SPCOM4
    ・洗脳/悪堕ちキャラが操作キャラにパイズリをさせた			MESSAGE_OTHER_SEX_SPCOM5
    ・洗脳/悪堕ちキャラが操作キャラに強制自慰をさせた			MESSAGE_OTHER_SEX_SPCOM6
    ・洗脳/悪堕ちキャラが操作キャラに羞恥プレイをした			MESSAGE_OTHER_SEX_SPCOM7

　　・洗脳/悪堕ちキャラが操作キャラの射精を見た				MESSAGE_OTHER_SEX_CHARA_SYASEI
　　・洗脳/悪堕ちキャラが操作キャラの大量射精を見た			MESSAGE_OTHER_SEX_CHARA_SYASEI_HI
　　・洗脳/悪堕ちキャラが操作キャラの噴乳を見た				MESSAGE_OTHER_SEX_CHARA_HUNNYU
　　・洗脳/悪堕ちキャラが操作キャラの大量噴乳を見た			MESSAGE_OTHER_SEX_CHARA_HUNNYU_HI
　　・洗脳/悪堕ちキャラが操作キャラのC絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_C
　　・洗脳/悪堕ちキャラが操作キャラのC強絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_C_HI
　　・洗脳/悪堕ちキャラが操作キャラのV絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_V
　　・洗脳/悪堕ちキャラが操作キャラのV強絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_V_HI
　　・洗脳/悪堕ちキャラが操作キャラのA絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_A
　　・洗脳/悪堕ちキャラが操作キャラのA強絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_A_HI
　　・洗脳/悪堕ちキャラが操作キャラのB絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_B
　　・洗脳/悪堕ちキャラが操作キャラのB強絶頂を見た			MESSAGE_OTHER_SEX_ECSTASY_B_HI
　　・洗脳/悪堕ちキャラが操作キャラの四重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_CVAB
　　・洗脳/悪堕ちキャラが操作キャラのCVA三重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_CVA
　　・洗脳/悪堕ちキャラが操作キャラのCVB三重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_CVB
　　・洗脳/悪堕ちキャラが操作キャラのCAB三重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_CAB
　　・洗脳/悪堕ちキャラが操作キャラのCV二重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_CV
　　・洗脳/悪堕ちキャラが操作キャラのCA二重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_CA
　　・洗脳/悪堕ちキャラが操作キャラのCB二重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_CB
　　・洗脳/悪堕ちキャラが操作キャラのVAB三重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_VAB
　　・洗脳/悪堕ちキャラが操作キャラのVA二重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_VA
　　・洗脳/悪堕ちキャラが操作キャラのVB二重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_VB
　　・洗脳/悪堕ちキャラが操作キャラのAB二重絶頂を見た			MESSAGE_OTHER_SEX_MULTIECSTASY_AB
　　・洗脳/悪堕ちキャラが操作キャラに快楽刻印１が付くのを見た		MESSAGE_OTHER_SEX_MARK_KAIRAKU_1
　　・洗脳/悪堕ちキャラが操作キャラに快楽刻印２が付くのを見た		MESSAGE_OTHER_SEX_MARK_KAIRAKU_2
　　・洗脳/悪堕ちキャラが操作キャラに快楽刻印３が付くのを見た		MESSAGE_OTHER_SEX_MARK_KAIRAKU_3
　　・洗脳/悪堕ちキャラが操作キャラに苦痛刻印１が付くのを見た		MESSAGE_OTHER_SEX_MARK_KUTUU_1
　　・洗脳/悪堕ちキャラが操作キャラに苦痛刻印２が付くのを見た		MESSAGE_OTHER_SEX_MARK_KUTUU_2
　　・洗脳/悪堕ちキャラが操作キャラに苦痛刻印３が付くのを見た		MESSAGE_OTHER_SEX_MARK_KUTUU_3
　　・洗脳/悪堕ちキャラが操作キャラに屈服刻印１が付くのを見た		MESSAGE_OTHER_SEX_MARK_KUPPUKU_1
　　・洗脳/悪堕ちキャラが操作キャラに屈服刻印２が付くのを見た		MESSAGE_OTHER_SEX_MARK_KUPPUKU_2
　　・洗脳/悪堕ちキャラが操作キャラに屈服刻印３が付くのを見た		MESSAGE_OTHER_SEX_MARK_KUPPUKU_3
　　・洗脳/悪堕ちキャラが操作キャラに恐怖刻印１が付くのを見た		MESSAGE_OTHER_SEX_MARK_KYOUHU_1
　　・洗脳/悪堕ちキャラが操作キャラに恐怖刻印２が付くのを見た		MESSAGE_OTHER_SEX_MARK_KYOUHU_2
　　・洗脳/悪堕ちキャラが操作キャラに恐怖刻印３が付くのを見た		MESSAGE_OTHER_SEX_MARK_KYOUHU_3
　　・洗脳/悪堕ちキャラが操作キャラに恥辱刻印１が付くのを見た		MESSAGE_OTHER_SEX_MARK_TIJYOKU_1
　　・洗脳/悪堕ちキャラが操作キャラに恥辱刻印２が付くのを見た		MESSAGE_OTHER_SEX_MARK_TIJYOKU_2
　　・洗脳/悪堕ちキャラが操作キャラに恥辱刻印３が付くのを見た		MESSAGE_OTHER_SEX_MARK_TIJYOKU_3
　　・洗脳/悪堕ちキャラが操作キャラの膣内に射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_VAGINA
　　・洗脳/悪堕ちキャラが操作キャラの膣内に大量射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_VAGINA_HI
　　・洗脳/悪堕ちキャラが操作キャラのアナルに射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_ANAL
　　・洗脳/悪堕ちキャラが操作キャラのアナルに大量射精した		MESSAGE_OTHER_SEX_TENTACLE_SYASEI_ANAL_HI
　　・洗脳/悪堕ちキャラが操作キャラの手に射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_HAND
　　・洗脳/悪堕ちキャラが操作キャラの手に大量射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_HAND_HI
　　・洗脳/悪堕ちキャラが操作キャラの口内に射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_MOUTH
　　・洗脳/悪堕ちキャラが操作キャラの口内に大量射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_MOUTH_HI
　　・洗脳/悪堕ちキャラが操作キャラの胸に射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_BUST
　　・洗脳/悪堕ちキャラが操作キャラの胸に大量射精した			MESSAGE_OTHER_SEX_TENTACLE_SYASEI_BUST_HI
　　・洗脳/悪堕ちキャラが操作キャラの普通の自慰を見た			MESSAGE_OTHER_SELF_N
　　・洗脳/悪堕ちキャラが操作キャラの胸自慰を見た			MESSAGE_OTHER_SELF_B
　　・洗脳/悪堕ちキャラが操作キャラのアナニーを見た			MESSAGE_OTHER_SELF_A

　　・悪堕ちキャラが幽閉中の操作キャラに被姦開始した			MESSAGE_OTHER_PRISON_PRISENTENCE
　　・悪堕ちキャラが幽閉中の操作キャラを洗脳した			MESSAGE_OTHER_PRISON_SENNOU
　　・悪堕ちキャラが幽閉中の操作キャラを悪堕ち				MESSAGE_OTHER_PRISON_AKUOTI
　　・悪堕ちキャラが幽閉中の操作キャラを取り込んだ			MESSAGE_OTHER_PRISON_DEAD
　　・悪堕ちキャラが幽閉中の操作キャラをふたなり化した			MESSAGE_OTHER_PRISON_HUTANARI
　　・悪堕ちキャラが幽閉中の操作キャラを母乳体質化した			MESSAGE_OTHER_PRISON_BONYU
　　・悪堕ちキャラが幽閉中の操作キャラにC中心攻めをした			MESSAGE_OTHER_PRISON_COM_0
　　・悪堕ちキャラが幽閉中の操作キャラにV中心攻めをした			MESSAGE_OTHER_PRISON_COM_1
　　・悪堕ちキャラが幽閉中の操作キャラにA中心攻めをした			MESSAGE_OTHER_PRISON_COM_2
　　・悪堕ちキャラが幽閉中の操作キャラにB中心攻めをした			MESSAGE_OTHER_PRISON_COM_3
　　・悪堕ちキャラが幽閉中の操作キャラにSな攻めをした			MESSAGE_OTHER_PRISON_COM_4
　　・悪堕ちキャラが幽閉中の操作キャラに強制奉仕させた			MESSAGE_OTHER_PRISON_COM_5
　　・悪堕ちキャラが幽閉中の操作キャラに羞恥な攻めをした		MESSAGE_OTHER_PRISON_COM_6
　　・悪堕ちキャラが幽閉中の操作キャラにふたなり攻めをした		MESSAGE_OTHER_PRISON_COM_100
　　・悪堕ちキャラが幽閉中の操作キャラにV拡張をした			MESSAGE_OTHER_PRISON_COM_101
　　・悪堕ちキャラが幽閉中の操作キャラにA拡張をした			MESSAGE_OTHER_PRISON_COM_102
　　・悪堕ちキャラが幽閉中の操作キャラに搾乳攻めをした			MESSAGE_OTHER_PRISON_COM_103
　　・悪堕ちキャラが幽閉中の操作キャラにVに産卵をした			MESSAGE_OTHER_PRISON_COM_200
　　・悪堕ちキャラが幽閉中の操作キャラにAに産卵をした			MESSAGE_OTHER_PRISON_COM_201
　　・悪堕ちキャラが幽閉中の操作キャラに注射をした			MESSAGE_OTHER_PRISON_COM_300
　　・悪堕ちキャラが幽閉中の操作キャラに触手の寄生をした		MESSAGE_OTHER_PRISON_COM_301
　
  洗脳/悪堕ちキャラとの戦闘
    敵キャラが押し倒すを開始		MESSAGE_BATTLE_TENTACLE_OSHITAOSU
    敵キャラの押し倒す成功		MESSAGE_BATTLE_TENTACLE_OSHITAOSU_SUCCESS
    押し倒す回避			MESSAGE_BATTLE_TENTACLE_OSHITAOSU_FALSE
    
    敵キャラに勝利			MESSAGE_BATTLE_END_WIN_ENEMY
    敵キャラの救出                      MESSAGE_BATTLE_END_RESCUE_ENEMY
    ・洗脳/悪堕ち状態で倒された側 	MESSAGE_OTHER_BATTLE_END_RESCUED_ENEMY

    ・レイプする側			MESSAGE_OTHER_SUBEVENT_BATTLE_RAPE_ENEMY
　　悪堕ちキャラに敗北して犯される　　　MESSAGE_SUBEVENT_BATTLE_RAPED_ENEMY

　その他
　　幽閉中のコマンド　触手の寄生	MESSAGE_PRISON_COM_301


・β２

　衣装関係
　　（削除）MESSAGE_BATTLE_SUITS_DAMAGE
　　（削除）MESSAGE_BATTLE_SUITS_DAMAGE_2
　　（削除）MESSAGE_BATTLE_SUITS_DAMAGE_3
　　（削除）MESSAGE_BATTLE_SUITS_DAMAGE_4
　　（削除）MESSAGE_BATTLE_SUITS_DAMAGE_5
　　アウターが破れ始めた　　　　　MESSAGE_BATTLE_CLOTH_OUTERDAMAGE
　　アウターが破れた　　　　　　　MESSAGE_BATTLE_CLOTH_OUTERBREAK
　　インナーが破れ始めた　　　　　MESSAGE_BATTLE_CLOTH_INNERDAMAGE
　　インナーが破れた　　　　　　　MESSAGE_BATTLE_CLOTH_INNERBREAK
　　
　戦闘サブイベント関連
　　触手拘束具を着せられた　　　　MESSAGE_SUBEVENT_BATTLEEND_TENTACLECLOTH
　　触手拘束具による被姦　　　　　MESSAGE_SUBEVENT_BATTLE_ACTTENTACLECLOTH
　　
　鍛錬関連
　　触手拘束具が鍛錬の邪魔をする　MESSAGE_TRAINING_TENTACLECLOTH

・β１
　射精・噴乳関係
　　キャラが射精した              MESSAGE_SEX_CHARA_SYASEI
　　キャラが大量射精した          MESSAGE_SEX_CHARA_SYASEI_HI
　　キャラが噴乳した              MESSAGE_SEX_CHARA_HUNNYU
　　キャラが大量噴乳した          MESSAGE_SEX_CHARA_HUNNYU_HI
　素質関連
　　触手の虜                      MESSAGE_GETTALENT_TORIKO
　戦闘関連
　　触手の虜で体が竦む            MESSAGE_BATTLE_DISACTION_TORIKO
　幽閉関連
　　初めての幽閉　　　　　　　　　MESSAGE_PRISON_PRISENTENCE_FIRST
　　二度目以降の幽閉後の初被姦　　MESSAGE_PRISON_PRISENTENCE_START
　　幽閉後の被姦開始文            MESSAGE_PRISON_PRISENTENCE
　　取り込まれ                    MESSAGE_PRISON_DEAD
　　ふたなり化　　　　　　　　　　MESSAGE_PRISON_HUTANARI
　　母乳体質化　　　　　　　　　　MESSAGE_PRISON_BONYU
　　C中心攻め                     MESSAGE_PRISON_COM_0
　　V中心攻め                     MESSAGE_PRISON_COM_1
　　A中心攻め                     MESSAGE_PRISON_COM_2
　　B中心攻め                     MESSAGE_PRISON_COM_3
　　Sな攻め                       MESSAGE_PRISON_COM_4
　　強制奉仕                      MESSAGE_PRISON_COM_5
　　羞恥な攻め                    MESSAGE_PRISON_COM_6
　　ふたなり攻め                  MESSAGE_PRISON_COM_100
　　V拡張                         MESSAGE_PRISON_COM_101
　　A拡張                         MESSAGE_PRISON_COM_102
　　搾乳攻め                      MESSAGE_PRISON_COM_103
　　Vに産卵                       MESSAGE_PRISON_COM_200
　　Aに産卵                       MESSAGE_PRISON_COM_201
　　注射                          MESSAGE_PRISON_COM_300
　戦闘終了時
　　捕らわれキャラの救出          MESSAGE_BATTLE_END_RESCUE
　　・救出された側の口上          MESSAGE_OTHER_BATTLE_END_RESCUED

・α６
　体が竦んだ関連（これまではシステムメッセージ扱いだったので口上を表示する作りになっていなかった）

・α４
　自慰関連
　触手の性コマンド：強制自慰、羞恥プレイ
　触手の攻撃コマンド：体液を吐く関連
　服の損傷関連
　トレーニング：○距離戦闘訓練
